Month,Oil_Production (bbl),Total_Gas_Production (mcf),,,
0,"25,080","33,852",,,
1,"22,735","30,825",,,
2,"18,968","25,950",,,
3,"16,196","22,354",,,
4,"14,076","19,604",,,
5,"12,408","17,438",,,
6,"11,065","15,691",,,
7,"9,964","14,257",,,
8,"9,046","13,058",,,
9,"8,268","12,045",,,
10,"7,603","11,176",,,
11,"7,030","10,426",,,
12,"6,530","9,771",,,
13,"6,090","9,194",,,
14,"5,701","8,685",,,
15,"5,354","8,230",,,
16,"5,043","7,824",,,
17,"4,764","7,456",,,
18,"4,511","7,125",,,
19,"4,281","6,823",,,
20,"4,073","6,547",,,
21,"3,881","6,295",,,
22,"3,705","6,064",,,
23,"3,542","5,851",,,
24,"3,392","5,654",,,
25,"3,254","5,472",,,
26,"3,125","5,302",,,
27,"3,005","5,145",,,
28,"2,893","4,998",,,
29,"2,789","4,861",,,
30,"2,691","4,732",,,
31,"2,599","4,612",,,
32,"2,512","4,499",,,
33,"2,431","4,392",,,
34,"2,354","4,291",,,
35,"2,282","4,197",,,
36,"2,212","4,107",,,
37,"2,147","4,022",,,
38,"2,086","3,941",,,
39,"2,028","3,866",,,
40,"1,972","3,794",,,
41,"1,918","3,725",,,
42,"1,869","3,660",,,
43,"1,821","3,598",,,
44,"1,774","3,539",,,
45,"1,730","3,483",,,
46,"1,689","3,429",,,
47,"1,649","3,378",,,
48,"1,610","3,328",,,
49,"1,573","3,270",,,
50,"1,538","3,203",,,
51,"1,504","3,139",,,
52,"1,470","3,076",,,
53,"1,440","3,016",,,
54,"1,409","2,960",,,
55,"1,381","2,904",,,
56,"1,352","2,850",,,
57,"1,325","2,799",,,
58,"1,299","2,750",,,
59,"1,274","2,702",,,
60,"1,250","2,656",,,
